,district,ward,coordinates,kind,Legal,surface,floor,bedRoom,bathRoom,environment,utility,price
0,Quận Thủ Đức,Phường Linh Trung,"[10.86202, 106.78333]",Nhà phố,"[1, 0, 0]",90.0,,,,,,38888888.8889
1,Quận 6,Phường 13,"[10.75323, 106.62963]",Khác,"[1, 0, 0]",90.0,,,,,,33333333.3333
2,Quận 7,Phường Tân Kiểng,"[10.74912, 106.7102]",Nhà phố,"[1, 0, 0]",83.0,,,,,,69879518.0723
3,Huyện Bình Chánh,Xã Phạn Văn Hai,"[10.81917, 106.53676]",Nhà phố,"[1, 0, 0]",72.0,1.0,2.0,2.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Công viên ,","Internet cáp quang ,",6250000.0
4,Quận 12,Phường Thạnh Xuân,"[10.87846, 106.67151]",Nhà phố,"[1, 0, 0]",74.0,,,,,,11891891.8919
5,Quận 12,Phường Thạnh Xuân,"[10.87846, 106.67151]",Nhà phố,"[1, 0, 0]",50.0,,,,,,13200000.0
6,Quận Thủ Đức,Phường Bình Thọ,"[10.84504, 106.76858]",Khác,"[1, 0, 0]",127.0,,,,,,551181.102362
7,Quận Gò Vấp,Phường 14,"[10.7943, 106.63978]",Nhà phố,"[1, 0, 0]",300.0,4.0,4.0,5.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Gần nhà thờ,Công viên,Khu an ninh ,","Điều hòa,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi,Sân vườn,Phòng tập gym ,",21666666.6667
8,Quận Thủ Đức,Phường Hiệp Bình Chánh,"[10.82745, 106.72564]",Nhà phố,"[1, 0, 0]",55.0,,,,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,",,43636363.6364
9,Quận 10,Phường 09,"[10.76719, 106.67055]",Nhà phố,"[1, 0, 0]",50.0,,,,,,74000000.0
10,Quận Tân Phú,Phường Tân Quý,"[10.79366, 106.61946]",Nhà phố,"[1, 0, 0]",24.0,,,,,,345833333.333
11,Huyện Hóc Môn,Xã Xuân Thới Sơn,"[10.87796, 106.55887]",Nhà phố,"[1, 0, 0]",260.0,,,,,,3076923.07692
12,Quận Thủ Đức,Phường Hiệp Bình Chánh,"[10.82745, 106.72564]",Nhà phố,"[1, 0, 0]",60.0,,,,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,","Ban công / Sân thượng ,",41666666.6667
13,Quận 10,Phường 06,"[10.76257, 106.66355]",Nhà phố,"[1, 0, 0]",160.0,1.0,2.0,2.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Gần nhà thờ,Công viên,Khu an ninh ,","Internet cáp quang,Wifi ,",87500000.0
14,Quận 10,Phường 15,"[10.76981, 106.65732]",Nhà phố,"[1, 0, 0]",40.0,,,,,,225000000.0
15,Quận 3,Phường 01,"[10.79191, 106.67146]",Nhà phố,"[1, 0, 0]",90.0,,,,,,211111111.111
16,Quận 3,Phường 08,"[10.78774, 106.68727]",Nhà phố,"[1, 0, 0]",107.0,,,,,,177570093.458
17,Quận 3,Phường 06,"[10.78024, 106.6907]",Biệt thự/ Villa,"[1, 0, 0]",414.0,,,,,,100000000.0
18,Quận Phú Nhuận,Phường 08,"[10.79897, 106.67439]",Nhà phố,"[1, 0, 0]",128.0,,3.0,2.0,"Trường học,Siêu thị,Bệnh viện,Gần chùa,Gần biển,Công viên ,","Máy giặt,Internet cáp quang,Wifi,Phòng tập gym ,",57031250.0
19,Huyện Bình Chánh,Xã Hưng Long,"[10.66544, 106.60985]",Nhà phố,"[1, 0, 0]",150.0,2.0,3.0,2.0,"Trường học,Bệnh viện,Giao thông công cộng,Gần chùa,Khu an ninh ,","Ban công / Sân thượng,Sân vườn ,",25333333.3333
20,Huyện Bình Chánh,Xã Phong Phú,"[10.7105, 106.64294]",Nhà phố,,120.0,3.0,4.0,4.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,","Điều hòa,Hồ bơi,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi,Sân vườn,Phòng tập gym ,",45833333.3333
21,Quận Gò Vấp,Phường 12,"[10.80126, 106.65071]",Nhà phố,"[1, 0, 0]",56.0,3.0,,,,,62500000.0
22,Huyện Bình Chánh,Xã Phạn Văn Hai,"[10.81917, 106.53676]",Nhà phố,"[1, 0, 0]",69.0,1.0,2.0,2.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Công viên ,","Internet cáp quang ,",6521739.13043
23,Quận Gò Vấp,Phường 8,"[10.78597, 106.65279]",Nhà phố,"[1, 0, 0]",243.0,1.0,4.0,2.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Gần nhà thờ,Công viên,Khu an ninh ,","Điều hòa,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi,Sân vườn ,",90534979.4239
24,Quận 3,Phường 13,"[10.74595, 106.65688]",Nhà phố,"[1, 0, 0]",80.0,,,,,,106250000.0
25,Huyện Bình Chánh,Xã Vĩnh Lộc B,"[10.79035, 106.56436]",Nhà phố,"[0, 1, 0]",34.0,2.0,2.0,2.0,,,22941176.4706
26,Huyện Bình Chánh,Xã Lê Minh Xuân,"[10.75473, 106.52789]",Nhà phố,"[1, 0, 0]",72.0,1.0,2.0,2.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Công viên ,","Internet cáp quang ,",6250000.0
27,Huyện Bình Chánh,Xã Phạn Văn Hai,"[10.81917, 106.53676]",Nhà phố,"[1, 0, 0]",72.0,1.0,2.0,2.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Công viên,Khu an ninh ,","Internet cáp quang ,",6250000.0
28,Quận 9,Phường Phú Hữu,"[10.79757, 106.80281]",Nhà phố,"[0, 0, 1]",1000.0,4.0,7.0,8.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,",,5000000.0
29,Quận 3,Phường 09,"[10.78236, 106.67903]",Nhà phố,"[1, 0, 0]",40.0,2.0,,,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,","Điều hòa,Internet cáp quang,Wifi ,",87500000.0
30,Quận Phú Nhuận,Phường 02,"[10.79765, 106.68533]",Nhà phố,"[1, 0, 0]",140.0,,,,,,133571428.571
31,Quận 3,Phường 10,"[10.78116, 106.67643]",Nhà phố,"[1, 0, 0]",180.0,,,,,,210555555.556
32,Quận 3,Phường 13,"[10.74595, 106.65688]",Nhà phố,"[1, 0, 0]",98.0,,,,,,153061224.49
33,Quận 3,Phường 03,"[10.77057, 106.6783]",Nhà phố,"[1, 0, 0]",80.0,,,,,,193750000.0
34,Quận Gò Vấp,Phường 9,"[10.80747, 106.67629]",Nhà phố,"[1, 0, 0]",113.0,,,,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,",,36283185.8407
35,Quận Tân Phú,Phường Tân Thới Hoà,"[10.76485, 106.63097]",Nhà phố,"[1, 0, 0]",20.0,2.0,,,,,275000000.0
36,Quận 1,Phường Ða Kao,"[10.7883, 106.69832]",Nhà phố,"[1, 0, 0]",86.0,,,,,,265116279.07
37,Quận 3,Phường 04,"[10.77535, 106.68478]",Nhà phố,"[1, 0, 0]",90.0,,,,,,191111111.111
38,Huyện Nhà Bè,Xã Phú Xuân,"[10.6779, 106.75148]",Khác,"[1, 0, 0]",60.0,2.0,4.0,3.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Gần nhà thờ,Công viên,Khu an ninh ,","Điều hòa,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi,Sân vườn,Phòng tập gym ,",38333333.3333
39,Quận Gò Vấp,Phường 12,"[10.80168, 106.6508]",Nhà phố,"[1, 0, 0]",112.0,2.0,,,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,",,56250000.0
40,Huyện Nhà Bè,Xã Phước Kiển,"[10.70364, 106.70937]",Khác,"[1, 0, 0]",60.0,2.0,4.0,3.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Gần nhà thờ,Công viên,Khu an ninh ,","Điều hòa,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi,Sân vườn,Phòng tập gym ,",30000000.0
41,Huyện Hóc Môn,Xã Xuân Thới Thượng,"[10.85404, 106.56561]",Nhà phố,"[1, 0, 0]",100.0,,,,,,12000000.0
42,Quận Phú Nhuận,Phường 01,"[10.79877, 106.6827]",Nhà phố,"[1, 0, 0]",75.0,,,,,,122666666.667
43,Quận 1,Phường Ða Kao,"[10.7883, 106.69832]",Nhà phố,"[1, 0, 0]",256.0,,,,,,281250000.0
44,Quận 5,Phường 05,"[10.75176, 106.67362]",Nhà phố,"[1, 0, 0]",100.0,,,,,,150000000.0
45,Quận 1,Phường Ða Kao,"[10.7883, 106.69832]",Nhà phố,"[1, 0, 0]",264.0,,,,,,276515151.515
46,Quận 1,Phường Phạm Ngũ Lão,"[10.7674, 106.69221]",Nhà phố,"[1, 0, 0]",1485.0,,,,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Gần nhà thờ,Công viên ,","Đầy đủ nội thất,Wifi ,",24915824.9158
47,Quận 1,Phường Ða Kao,"[10.7883, 106.69832]",Nhà phố,"[1, 0, 0]",168.0,,,,,,208333333.333
48,Quận 1,Phường Bến Thành,"[10.77414, 106.69601]",Nhà phố,"[1, 0, 0]",80.0,,,,,,350000000.0
49,Quận 3,Phường 07,"[10.78411, 106.68729]",Nhà phố,"[1, 0, 0]",432.0,,,,,,289351851.852
50,Quận 3,Phường 01,"[10.75423, 106.67891]",Nhà phố,"[1, 0, 0]",184.0,,,,,,125000000.0
51,Quận 1,Phường Nguyễn Thái Bình,"[10.76938, 106.70061]",Nhà phố,"[1, 0, 0]",130.0,,,,,,392307692.308
52,Quận 1,Phường Bến Nghé,"[10.77887, 106.69893]",Nhà phố,"[1, 0, 0]",178.0,,,,,,106741573.034
53,Quận 1,Phường Ða Kao,"[10.7883, 106.69832]",Nhà phố,"[1, 0, 0]",80.0,,,,,,125000000.0
54,Huyện Nhà Bè,Thị Trấn Nhà Bè,"[10.69329, 106.74142]",Nhà phố,"[1, 0, 0]",32.0,3.0,3.0,3.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Gần nhà thờ,Gần biển,Công viên,Khu an ninh ,","Điều hòa,Hồ bơi,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi,Sân vườn,Phòng tập gym ,",40625000.0
55,Quận 1,Phường Ða Kao,"[10.7883, 106.69832]",Nhà phố,"[1, 0, 0]",273.0,,,,,,194139194.139
56,Quận Thủ Đức,Phường Linh Tây,"[10.85844, 106.75513]",Nhà phố,"[1, 0, 0]",72.0,,,,,,90277777.7778
57,Quận 1,Phường Tân Ðịnh,"[10.79315, 106.69044]",Nhà phố,"[1, 0, 0]",150.0,,,,,,366666666.667
58,Quận 3,Phường 03,"[10.77057, 106.6783]",Nhà phố,"[1, 0, 0]",160.0,,,,,,393750000.0
59,Quận 1,Phường Tân Ðịnh,"[10.79315, 106.69044]",Nhà phố,"[1, 0, 0]",65.0,,,,,,258461538.462
60,Quận Phú Nhuận,Phường 11,"[10.7946, 106.67585]",Nhà phố,"[1, 0, 0]",126.0,,,,,,111111111.111
61,Quận Thủ Đức,Phường Bình Chiểu,"[10.87399, 106.73024]",Nhà phố,"[0, 1, 0]",60.0,2.0,2.0,2.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Gần nhà thờ,Công viên,Khu an ninh ,","Điều hòa,Hồ bơi,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi,Sân vườn,Phòng tập gym ,",26666666.6667
62,Quận 12,Phường Thới An,"[10.87578, 106.65642]",Nhà phố,"[0, 0, 1]",83.0,3.0,3.0,2.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa ,","Ban công / Sân thượng ,",14457831.3253
63,Quận 1,Phường Ða Kao,"[10.7883, 106.69832]",Nhà phố,"[1, 0, 0]",72.0,,,,,,229166666.667
64,Quận 3,Phường 13,"[10.74595, 106.65688]",Nhà phố,"[1, 0, 0]",100.0,,,,,,165000000.0
65,Quận 3,Phường 06,"[10.78024, 106.6907]",Nhà phố,"[1, 0, 0]",65.0,,,,,,246153846.154
66,Quận Gò Vấp,Phường 11,"[10.8426, 106.65448]",Nhà phố,"[1, 0, 0]",68.0,4.0,,,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,",,69117647.0588
67,Huyện Hóc Môn,Xã Xuân Thới Sơn,"[10.86781, 106.58296]",Nhà phố,"[1, 0, 0]",90.0,1.0,2.0,0.0,"Trường học,Bệnh viện,Công viên,Khu an ninh ,","Internet cáp quang,Ban công / Sân thượng,Wifi,Sân vườn ,",5555555.55556
68,Quận 3,Phường 05,"[10.77378, 106.68775]",Nhà phố,"[1, 0, 0]",84.0,,,,,,535714285.714
69,Huyện Hóc Môn,Xã Xuân Thới Sơn,"[10.87796, 106.55887]",Nhà phố,"[1, 0, 0]",60.0,1.0,2.0,2.0,"Trường học,Siêu thị,Bệnh viện,Công viên ,",,12666666.6667
70,Quận Gò Vấp,Phường 6,"[10.83834, 106.67126]",Nhà phố,"[1, 0, 0]",114.0,1.0,4.0,5.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Gần nhà thờ,Công viên,Khu an ninh ,","Điều hòa,Máy giặt,Internet cáp quang,Đầy đủ nội thất,Wifi ,",30701754.386
71,Quận 10,Phường 15,"[10.76981, 106.65732]",Nhà phố,"[1, 0, 0]",78.0,,,,,,164102564.103
72,Quận Thủ Đức,Phường Hiệp Bình Chánh,"[10.82745, 106.72564]",Nhà phố,"[1, 0, 0]",55.0,3.0,,,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Gần nhà thờ,Công viên,Khu an ninh ,","Ban công / Sân thượng ,",45454545.4545
73,Quận Thủ Đức,Phường Hiệp Bình Chánh,"[10.82745, 106.72564]",Nhà phố,"[0, 1, 0]",55.0,2.0,,,,,81818181.8182
74,Quận 7,Phường Tân Thuận Tây,"[10.75314, 106.72544]",Nhà phố,"[1, 0, 0]",63.0,2.0,4.0,,,,55555555.5556
75,Quận Tân Phú,Phường Tân Sơn Nhì,"[10.80006, 106.63022]",Nhà phố,"[1, 0, 0]",35.0,,,,,,68571428.5714
76,Quận 3,Phường 09,"[10.78236, 106.67903]",Nhà phố,"[1, 0, 0]",72.0,,,,,,109722222.222
77,Huyện Bình Chánh,Xã Vĩnh Lộc A,"[10.82315, 106.56666]",Nhà phố,"[1, 0, 0]",50.0,1.0,2.0,2.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Gần nhà thờ,Gần biển,Công viên,Khu an ninh ,","Điều hòa,Hồ bơi,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi,Sân vườn,Phòng tập gym ,",24000000.0
78,Quận Gò Vấp,Phường 01,"[10.81828, 106.69294]",Nhà phố,"[1, 0, 0]",260.0,2.0,,,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,","Điều hòa,Wifi ,",84615384.6154
79,Quận Bình Thạnh,Phường 11,"[10.81494, 106.69231]",Nhà phố,"[1, 0, 0]",66.0,2.0,3.0,2.0,"Trường học,Siêu thị,Giao thông công cộng,Khu an ninh ,","Ban công / Sân thượng ,",54545454.5455
80,Quận Tân Phú,Phường Tân Sơn Nhì,"[10.79847, 106.62961]",Khác,"[1, 0, 0]",100.0,1.0,3.0,2.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Công viên,Khu an ninh ,",,78000000.0
81,Quận Tân Bình,Phường 13,"[10.80386, 106.6434]",Nhà phố,"[1, 0, 0]",72.0,2.0,4.0,3.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Gần nhà thờ,Công viên,Khu an ninh ,",,187500000.0
82,Quận 3,Phường 13,"[10.74595, 106.65688]",Nhà phố,,60.0,1.0,,,,,75000000.0
83,Quận Gò Vấp,Phường 11,"[10.84041, 106.65448]",Khác,"[1, 0, 0]",94.0,,,,"Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Gần nhà thờ,Công viên,Khu an ninh ,","Điều hòa,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi ,",44680851.0638
84,Quận Thủ Đức,Phường Hiệp Bình Chánh,"[10.82745, 106.72564]",Nhà phố,"[1, 0, 0]",55.0,3.0,,,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,","Ban công / Sân thượng ,",38181818.1818
85,Quận Bình Thạnh,Phường 11,"[10.81494, 106.69231]",Nhà phố,"[1, 0, 0]",66.0,2.0,3.0,2.0,"Trường học,Siêu thị,Giao thông công cộng,Khu an ninh ,","Ban công / Sân thượng ,",54545454.5455
86,Quận 1,Phường Nguyễn Thái Bình,"[10.76947, 106.7012]",Nhà phố,"[1, 0, 0]",68.0,,,,,,352941176.471
87,Quận 1,Phường Nguyễn Thái Bình,"[10.76947, 106.7012]",Nhà phố,"[1, 0, 0]",68.0,,,,,,352941176.471
88,Quận 5,Phường 04,"[10.76248, 106.68038]",Nhà phố,"[1, 0, 0]",120.0,,,,,,180000000.0
89,Quận 10,Phường 12,"[10.76192, 106.65519]",Nhà phố,"[1, 0, 0]",142.0,,,,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,",,123239436.62
90,Huyện Nhà Bè,Thị Trấn Nhà Bè,"[10.69329, 106.74142]",Nhà phố,,64.0,4.0,5.0,5.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Gần nhà thờ,Công viên,Khu an ninh ,","Internet cáp quang,Ban công / Sân thượng ,",85937500.0
91,Huyện Nhà Bè,Xã Phước Kiểng,"[10.70289, 106.70856]",Nhà phố,,120.0,1.0,4.0,4.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,","Điều hòa,Hồ bơi,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi,Sân vườn,Phòng tập gym ,",44166666.6667
92,Quận 3,Phường 05,"[10.77115, 106.68653]",Nhà phố,"[1, 0, 0]",204.0,,,,,,382352941.176
93,Huyện Nhà Bè,Thị Trấn Nhà Bè,"[10.69329, 106.74142]",Nhà phố,,36.0,3.0,4.0,4.0,"Trường học,Siêu thị,Bệnh viện,Gần chùa,Công viên,Khu an ninh ,","Điều hòa,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi,Phòng tập gym ,",27222222.2222
94,Quận 3,Phường 06,"[10.78024, 106.6907]",Nhà phố,"[1, 0, 0]",136.0,,,,,,253676470.588
95,Quận Tân Phú,Phường Tân Quý,"[10.79523, 106.62174]",Nhà phố,"[1, 0, 0]",2113.0,5.0,,,,,35494557.5012
96,Quận Bình Tân,Phường Bình Hưng Hoà,"[10.80758, 106.60452]",Nhà phố,"[1, 0, 0]",283.0,,,,,,74204946.9965
97,Quận Phú Nhuận,Phường 10,"[10.79391, 106.66914]",Nhà phố,"[1, 0, 0]",84.0,,,,,,89285714.2857
98,Quận 1,Phường Bến Thành,"[10.77414, 106.69601]",Nhà phố,"[1, 0, 0]",56.0,,,,,,146428571.429
99,Quận 1,Phường Bến Thành,"[10.77414, 106.69601]",Nhà phố,"[1, 0, 0]",110.0,,,,,,163636363.636
100,Quận 1,Phường Bến Thành,"[10.77414, 106.69601]",Nhà phố,"[1, 0, 0]",80.0,,,,,,187500000.0
101,Quận 1,Phường Ða Kao,"[10.7883, 106.69832]",Nhà phố,"[1, 0, 0]",107.0,,,,,,116822429.907
102,Huyện Nhà Bè,Thị Trấn Nhà Bè,"[10.69329, 106.74142]",Nhà phố,"[1, 0, 0]",44.0,3.0,4.0,,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,",,215909090.909
103,Huyện Nhà Bè,Thị Trấn Nhà Bè,"[10.69329, 106.74142]",Nhà phố,"[1, 0, 0]",224.0,,2.0,2.0,"Trường học,Siêu thị,Giao thông công cộng,Công viên,Khu an ninh ,",,26339285.7143
104,Quận 7,Phường Tân Quy,"[10.74273, 106.70741]",Nhà phố,,72.0,2.0,5.0,6.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,","Điều hòa,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi,Sân vườn,Phòng tập gym ,",95833333.3333
105,Huyện Bình Chánh,Xã Vĩnh Lộc A,"[10.82315, 106.56666]",Nhà phố,"[1, 0, 0]",48.0,1.0,2.0,2.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Gần nhà thờ,Gần biển,Công viên,Khu an ninh ,","Điều hòa,Hồ bơi,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi,Sân vườn,Phòng tập gym ,",25000000.0
106,Quận 1,Phường Ða Kao,"[10.7883, 106.69832]",Nhà phố,"[1, 0, 0]",76.0,,,,,,184210526.316
107,Quận 1,Phường Nguyễn Thái Bình,"[10.76947, 106.7012]",Nhà phố,"[1, 0, 0]",145.0,,,,,,175862068.966
108,Quận 1,Phường Ða Kao,"[10.7883, 106.69832]",Nhà phố,"[1, 0, 0]",80.0,,,,,,181250000.0
109,Quận 10,Phường 12,"[10.76192, 106.65519]",Nhà phố,"[1, 0, 0]",80.0,,,,,,106250000.0
110,Quận 1,Phường Bến Thành,"[10.77414, 106.69601]",Nhà phố,"[1, 0, 0]",80.0,1.0,,,,,406250000.0
111,Quận 1,Phường Bến Nghé,"[10.77887, 106.69893]",Nhà phố,"[1, 0, 0]",105.0,4.0,,,,,304761904.762
112,Quận 10,Phường 12,"[10.76192, 106.65519]",Nhà phố,"[1, 0, 0]",42.0,,,,,,119047619.048
113,Quận 10,Phường 12,"[10.76192, 106.65519]",Nhà phố,"[1, 0, 0]",88.0,,,,,,102272727.273
114,Quận Phú Nhuận,Phường 01,"[10.79273, 106.68435]",Nhà phố,"[1, 0, 0]",60.0,,,,,,175000000.0
115,Quận 1,Phường Cầu Kho,"[10.75677, 106.68776]",Nhà phố,"[1, 0, 0]",84.0,3.0,,,,,178571428.571
116,Huyện Bình Chánh,Xã Vĩnh Lộc A,"[10.82315, 106.56666]",Nhà phố,"[1, 0, 0]",52.0,2.0,2.0,2.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Gần nhà thờ,Gần biển,Công viên,Khu an ninh ,","Điều hòa,Hồ bơi,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi,Sân vườn,Phòng tập gym ,",298076923.077
117,Quận 3,Phường 06,"[10.78024, 106.6907]",Nhà phố,"[1, 0, 0]",84.0,3.0,,,,,333333333.333
118,Quận 1,Phường Nguyễn Cư Trinh,"[10.76242, 106.68446]",Nhà phố,"[1, 0, 0]",135.0,4.0,,,,,122222222.222
119,Quận 1,Phường Bến Nghé,"[10.77887, 106.69893]",Nhà phố,"[1, 0, 0]",80.0,,,,,,181250000.0
120,Huyện Hóc Môn,Xã Bà Ðiểm,"[10.84183, 106.5958]",Nhà phố,"[1, 0, 0]",56.0,2.0,2.0,2.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Gần chùa,Gần nhà thờ,Gần biển,Công viên,Khu an ninh ,","Điều hòa,Hồ bơi,Máy giặt,Internet cáp quang,Ban công / Sân thượng,Đầy đủ nội thất,Wifi,Sân vườn,Phòng tập gym ,",12946428.5714
121,Quận 1,Phường Phạm Ngũ Lão,"[10.7674, 106.69221]",Nhà phố,,88.0,8.0,,,,,477272727.273
122,Quận 3,Phường 13,"[10.74595, 106.65688]",Nhà phố,"[1, 0, 0]",125.0,,,,,,96000000.0
123,Quận 1,Phường Tân Ðịnh,"[10.79315, 106.69044]",Nhà phố,"[1, 0, 0]",120.0,,,,,,116666666.667
124,Quận Phú Nhuận,Phường 01,"[10.79175, 106.67473]",Nhà phố,"[1, 0, 0]",84.0,,,,,,95238095.2381
125,Huyện Nhà Bè,Thị Trấn Nhà Bè,"[10.69329, 106.74142]",Nhà phố,"[1, 0, 0]",56.0,2.0,4.0,2.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,","Điều hòa,Máy giặt,Internet cáp quang,Đầy đủ nội thất,Wifi ,",151785714.286
126,Quận 1,Phường Nguyễn Cư Trinh,"[10.76242, 106.68446]",Nhà phố,"[1, 0, 0]",60.0,5.0,,,,,213333333.333
127,Quận 3,Phường 08,"[10.78774, 106.68727]",Nhà phố,"[1, 0, 0]",105.0,1.0,,,,,228571428.571
128,Quận 1,Phường Bến Nghé,"[10.77887, 106.69893]",Nhà phố,"[1, 0, 0]",72.0,,,,,,138888888.889
129,Quận Phú Nhuận,Phường 13,"[10.79094, 106.66911]",Nhà phố,"[1, 0, 0]",64.0,4.0,5.0,6.0,,,148437500.0
130,Quận 1,Phường Ða Kao,"[10.7883, 106.69832]",Nhà phố,"[1, 0, 0]",80.0,,,,,,160000000.0
131,Quận Phú Nhuận,Phường 09,"[10.80609, 106.67598]",Nhà phố,"[1, 0, 0]",101.0,,,,,,137623762.376
132,Quận 1,Phường Cầu Kho,"[10.75677, 106.68776]",Nhà phố,"[1, 0, 0]",61.0,,,,,,122950819.672
133,Quận 1,Phường Tân Ðịnh,"[10.79315, 106.69044]",Nhà phố,"[1, 0, 0]",119.0,1.0,,,,,193277310.924
134,Quận 1,Phường Nguyễn Cư Trinh,"[10.76242, 106.68446]",Nhà phố,"[1, 0, 0]",64.0,,,,,,109375000.0
135,Quận 1,Phường Ða Kao,"[10.7883, 106.69832]",Nhà phố,"[1, 0, 0]",118.0,,,,,,101694915.254
136,Quận Gò Vấp,Phường 9,"[10.84608, 106.64539]",Nhà phố,"[1, 0, 0]",240.0,4.0,4.0,5.0,"Trường học,Siêu thị,Bệnh viện,Giao thông công cộng,Công viên,Khu an ninh ,",,57500000.0
137,Quận 10,Phường 14,"[10.7736, 106.65997]",Nhà phố,"[1, 0, 0]",97.0,,,,,,134020618.557
138,Quận 1,Phường Bến Thành,"[10.77414, 106.69601]",Nhà phố,"[1, 0, 0]",120.0,,,,,,120833333.333
139,Quận 3,Phường 09,"[10.78236, 106.67903]",Nhà phố,"[1, 0, 0]",57.0,,,,,,156140350.877
140,Quận 1,Phường Ða Kao,"[10.7883, 106.69832]",Nhà phố,"[1, 0, 0]",81.0,,,,,,196296296.296
141,Quận 3,Phường 02,"[10.76922, 106.68226]",Nhà phố,"[1, 0, 0]",41.0,1.0,,,,,280487804.878
142,Quận 1,Phường Tân Ðịnh,"[10.79315, 106.69044]",Nhà phố,"[1, 0, 0]",72.0,,,,,,194444444.444
143,Quận 1,Phường Ða Kao,"[10.7883, 106.69832]",Nhà phố,"[1, 0, 0]",84.0,,,,,,177380952.381
144,Quận 1,Phường Ða Kao,"[10.7883, 106.69832]",Nhà phố,"[1, 0, 0]",72.0,,,,,,131944444.444
145,Quận 10,Phường 14,"[10.7736, 106.65997]",Nhà phố,"[1, 0, 0]",78.0,,,,,,170512820.513
